FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
105,YES,2.118,YES,2.058,3.295,-6.61,NO,3.503,YES,2.791,66.544,GAUCHE,-141.596,-76.875,-118.453,S214H_dimer_validated_mini00105.yob
106,YES,1.964,YES,1.852,3.58,-6.61,NO,4.703,YES,2.789,64.236,GAUCHE,-157.094,-76.255,-108.43,S214H_dimer_validated_mini00106.yob
107,YES,2.128,YES,1.823,3.505,-6.61,NO,3.796,YES,2.961,81.641,GAUCHE,-138.397,-73.375,-129.336,S214H_dimer_validated_mini00107.yob
108,YES,2.216,YES,1.764,3.367,-6.61,NO,3.866,YES,2.826,74.481,GAUCHE,-150.197,-82.317,-125.098,S214H_dimer_validated_mini00108.yob
109,YES,2.028,NO,1.815,3.26,-6.61,NO,3.977,NO,2.954,79.303,GAUCHE,-132.061,-82.686,-113.567,S214H_dimer_validated_mini00109.yob
110,YES,2.274,YES,1.877,3.499,-6.61,NO,3.717,YES,2.848,59.696,GAUCHE,-147.531,-72.493,-120.798,S214H_dimer_validated_mini00110.yob
111,NO,2.168,YES,2.02,3.512,-6.61,NO,3.624,YES,2.916,72.302,GAUCHE,-142.26,-88.047,-122.5,S214H_dimer_validated_mini00111.yob
112,NO,2.577,YES,1.952,3.546,-6.61,NO,4.361,YES,2.861,65.07,GAUCHE,-143.344,-76.68,-134.969,S214H_dimer_validated_mini00112.yob
113,YES,1.768,YES,1.867,2.921,-6.61,NO,3.933,YES,2.965,64.818,GAUCHE,-160.617,-70.829,-110.136,S214H_dimer_validated_mini00113.yob
114,YES,2.01,YES,1.81,3.47,-6.61,YES,3.406,YES,3.106,73.852,GAUCHE,-151.399,-75.825,-124.591,S214H_dimer_validated_mini00114.yob
115,YES,2.06,YES,1.897,3.18,-6.61,YES,3.154,YES,2.766,70.401,GAUCHE,-145.261,-70.979,-133.112,S214H_dimer_validated_mini00115.yob
116,NO,2.405,YES,1.774,3.395,-6.61,NO,3.79,NO,3.021,86.392,GAUCHE,-145.4,-85.13,-122.473,S214H_dimer_validated_mini00116.yob
117,NO,2.912,YES,1.989,3.475,-6.61,NO,3.974,YES,2.984,85.678,GAUCHE,-162.823,-71.776,-125.697,S214H_dimer_validated_mini00117.yob
118,YES,1.745,YES,1.814,3.148,-6.61,YES,3.143,YES,3.001,77.674,GAUCHE,-146.295,-89.171,-123.934,S214H_dimer_validated_mini00118.yob
119,YES,2.194,YES,1.865,3.283,-6.61,NO,4.038,YES,2.774,85.944,GAUCHE,-144.969,-87.219,-121.475,S214H_dimer_validated_mini00119.yob
120,YES,2.111,YES,1.715,3.525,-6.61,NO,3.826,YES,2.834,73.026,GAUCHE,-132.786,-83.369,-118.215,S214H_dimer_validated_mini00120.yob
121,YES,1.929,YES,1.892,3.194,-6.61,NO,3.938,YES,2.821,75.062,GAUCHE,-141.911,-79.343,-129.491,S214H_dimer_validated_mini00121.yob
122,NO,2.614,YES,1.714,3.622,-6.61,NO,4.265,YES,2.872,80.86,GAUCHE,-132.402,-75.972,-124.249,S214H_dimer_validated_mini00122.yob
123,YES,2.428,YES,1.828,3.484,-6.61,NO,4.481,YES,3.086,101.979,UNDEFINED,-147.601,-79.726,-107.774,S214H_dimer_validated_mini00123.yob
124,YES,2.272,YES,2.077,3.43,-6.61,NO,3.907,YES,2.829,77.023,GAUCHE,-169.273,-77.835,-127.563,S214H_dimer_validated_mini00124.yob
125,YES,1.905,YES,1.83,3.266,-6.61,NO,3.788,YES,2.761,76.388,GAUCHE,-151.329,-83.651,-135.979,S214H_dimer_validated_mini00125.yob
