FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
120,YES,1.928,YES,2.038,3.228,-5.44,NO,3.458,NO,2.928,15.577,UNDEFINED,-146.891,-89.969,-123.298,WT_Dimer_validated_mini00120.yob
121,YES,2.356,YES,1.654,3.235,-5.44,NO,3.997,YES,2.729,12.069,UNDEFINED,-141.291,-84.171,-123.439,WT_Dimer_validated_mini00121.yob
122,NO,2.223,YES,1.885,3.273,-5.44,NO,3.964,YES,2.734,37.537,UNDEFINED,-159.608,-85.999,-110.379,WT_Dimer_validated_mini00122.yob
123,YES,2.173,YES,1.941,2.993,-5.44,NO,3.984,YES,3.024,41.256,UNDEFINED,-134.924,-83.245,-111.255,WT_Dimer_validated_mini00123.yob
124,YES,1.978,NO,2.222,3.73,-5.44,NO,4.343,YES,2.908,0.105,UNDEFINED,-155.518,-90.38,-130.933,WT_Dimer_validated_mini00124.yob
125,YES,1.713,YES,2.024,3.249,-5.44,NO,4.038,YES,2.775,32.73,UNDEFINED,-143.644,-81.031,-123.368,WT_Dimer_validated_mini00125.yob
126,YES,2.326,YES,1.925,3.088,-5.44,NO,4.151,YES,2.913,41.461,UNDEFINED,-137.488,-82.187,-109.303,WT_Dimer_validated_mini00126.yob
127,YES,1.992,YES,1.862,3.549,-5.44,NO,4.795,YES,2.953,39.797,UNDEFINED,-142.432,-93.332,-116.449,WT_Dimer_validated_mini00127.yob
128,YES,2.005,YES,1.788,3.216,-5.44,NO,4.174,NO,3.131,6.697,UNDEFINED,-125.251,-82.976,-125.029,WT_Dimer_validated_mini00128.yob
129,YES,2.002,YES,1.836,2.926,-5.44,NO,3.48,YES,2.711,58.332,GAUCHE,-152.505,-74.352,-119.223,WT_Dimer_validated_mini00129.yob
130,YES,2.068,YES,2.085,2.994,-5.44,NO,3.912,YES,2.772,37.929,UNDEFINED,-153.313,-87.882,-116.106,WT_Dimer_validated_mini00130.yob
131,YES,2.293,YES,1.77,3.823,-5.44,NO,4.655,YES,3.196,46.168,UNDEFINED,-153.61,-76.536,-121.961,WT_Dimer_validated_mini00131.yob
132,NO,3.694,YES,1.686,3.88,-5.44,NO,4.702,NO,4.224,52.781,GAUCHE,-136.117,-79.335,-103.049,WT_Dimer_validated_mini00132.yob
133,NO,4.269,YES,1.688,3.938,-5.44,NO,5.201,NO,3.588,38.571,UNDEFINED,-141.391,-71.142,-116.687,WT_Dimer_validated_mini00133.yob
134,NO,2.735,YES,1.808,4.137,-5.44,NO,4.937,YES,3.174,42.937,UNDEFINED,-160.711,-87.84,-124.826,WT_Dimer_validated_mini00134.yob
135,NO,3.974,YES,1.847,3.63,-5.44,NO,5.161,YES,3.09,42.867,UNDEFINED,-152.575,-73.009,-116.369,WT_Dimer_validated_mini00135.yob
136,NO,3.662,YES,1.696,3.466,-5.44,NO,5.164,NO,3.057,35.348,UNDEFINED,-135.6,-76.318,-113.215,WT_Dimer_validated_mini00136.yob
137,NO,3.78,YES,1.868,3.679,-5.44,NO,5.246,NO,3.466,38.797,UNDEFINED,-146.552,-83.409,-120.56,WT_Dimer_validated_mini00137.yob
138,NO,3.912,YES,1.737,3.872,-5.44,NO,5.343,NO,3.715,34.129,UNDEFINED,-128.1,-96.359,-127.119,WT_Dimer_validated_mini00138.yob
139,NO,3.73,YES,1.97,3.768,-5.44,NO,5.213,YES,3.188,64.618,GAUCHE,-153.369,-71.599,-136.294,WT_Dimer_validated_mini00139.yob
140,NO,4.359,YES,1.972,3.598,-5.44,NO,4.966,NO,2.938,56.476,GAUCHE,-143.817,-79.173,-120.671,WT_Dimer_validated_mini00140.yob
141,YES,2.212,YES,1.847,3.696,-5.44,NO,4.711,YES,2.872,41.284,UNDEFINED,-157.106,-85.587,-124.851,WT_Dimer_validated_mini00141.yob
142,NO,2.457,YES,1.633,3.637,-5.44,NO,4.616,YES,2.935,53.754,GAUCHE,-143.363,-94.032,-118.947,WT_Dimer_validated_mini00142.yob
143,YES,1.955,YES,1.741,3.413,-5.44,NO,3.834,YES,2.89,55.666,GAUCHE,-145.947,-88.466,-108.199,WT_Dimer_validated_mini00143.yob
144,YES,1.91,YES,1.742,3.873,-5.44,NO,4.722,NO,3.411,44.543,UNDEFINED,-153.56,-87.532,-120.583,WT_Dimer_validated_mini00144.yob
145,YES,2.234,YES,1.944,3.653,-5.44,NO,4.391,YES,3.152,55.196,GAUCHE,-143.57,-93.316,-125.709,WT_Dimer_validated_mini00145.yob
146,YES,1.958,YES,1.921,3.352,-5.44,NO,4.124,YES,2.778,37.577,UNDEFINED,-138.716,-81.694,-117.339,WT_Dimer_validated_mini00146.yob
147,NO,2.538,YES,1.767,3.678,-5.44,NO,4.221,YES,2.842,51.693,GAUCHE,-165.215,-82.18,-108.761,WT_Dimer_validated_mini00147.yob
148,NO,2.545,YES,1.741,4.064,-5.44,NO,4.986,YES,2.93,51.187,GAUCHE,-158.938,-78.746,-116.311,WT_Dimer_validated_mini00148.yob
149,YES,1.919,YES,1.914,3.989,-5.44,NO,5.21,YES,2.867,37.462,UNDEFINED,-156.2,-71.207,-110.949,WT_Dimer_validated_mini00149.yob
150,YES,2.189,NO,2.03,3.619,-5.44,NO,4.817,YES,3.075,55.888,GAUCHE,-135.646,-87.124,-113.617,WT_Dimer_validated_mini00150.yob
151,YES,2.147,YES,1.847,3.628,-5.44,NO,4.055,YES,2.923,41.019,UNDEFINED,-150.878,-92.361,-112.437,WT_Dimer_validated_mini00151.yob
152,YES,2.282,YES,1.684,3.921,-5.44,NO,4.815,YES,3.035,46.549,UNDEFINED,-150.629,-75.994,-132.727,WT_Dimer_validated_mini00152.yob
153,NO,2.529,YES,1.844,3.716,-5.44,NO,5.085,NO,3.068,51.596,GAUCHE,-142.02,-71.103,-127.866,WT_Dimer_validated_mini00153.yob
154,NO,3.601,YES,1.776,3.632,-5.44,NO,4.838,YES,2.962,62.054,GAUCHE,-149.969,-86.662,-123.857,WT_Dimer_validated_mini00154.yob
